match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR
T207430,Sunrisers Vs KKR,Sunrisers,9.00,BhuvneshwarKumar,not_out,7.00,7.00,0.00,0.00,100.00
T207430,Sunrisers Vs KKR,Sunrisers,10.00,SiddarthKaul,not_out,7.00,5.00,1.00,0.00,140.00
T207430,Sunrisers Vs KKR,KKR,1.00,ShubmanGill,out,57.00,51.00,10.00,0.00,111.76
T207430,Sunrisers Vs KKR,KKR,2.00,VenkateshIyer,out,8.00,14.00,0.00,0.00,57.14
T207430,Sunrisers Vs KKR,KKR,3.00,RahulTripathi,out,7.00,6.00,1.00,0.00,116.66
T207430,Sunrisers Vs KKR,KKR,4.00,NitishRana,out,25.00,33.00,3.00,0.00,75.75
T207430,Sunrisers Vs KKR,KKR,5.00,DineshKarthik,not_out,18.00,12.00,3.00,0.00,150.00
T207430,Sunrisers Vs KKR,KKR,6.00,EoinMorgan,not_out,2.00,2.00,0.00,0.00,100.00
T207754,RCB Vs Punjab Kings,RCB,1.00,ViratKohli,out,25.00,24.00,2.00,1.00,104.16
T207754,RCB Vs Punjab Kings,RCB,2.00,DevduttPadikkal,out,40.00,38.00,4.00,2.00,105.26
T207754,RCB Vs Punjab Kings,RCB,3.00,DanChristian,out,0.00,1.00,0.00,0.00,0.00
T207754,RCB Vs Punjab Kings,RCB,4.00,GlennMaxwell,out,57.00,33.00,3.00,4.00,172.72
T207754,RCB Vs Punjab Kings,RCB,5.00,ABdeVilliers,out,23.00,18.00,1.00,2.00,127.77
T207754,RCB Vs Punjab Kings,RCB,6.00,ShahbazAhmed,out,8.00,4.00,0.00,1.00,200.00
T207754,RCB Vs Punjab Kings,RCB,7.00,SrikarBharat,not_out,0.00,0.00,0.00,0.00,-
T207754,RCB Vs Punjab Kings,RCB,8.00,GeorgeGarton,out,0.00,1.00,0.00,0.00,0.00
T207754,RCB Vs Punjab Kings,RCB,9.00,HarshalPatel,not_out,1.00,1.00,0.00,0.00,100.00
T207754,RCB Vs Punjab Kings,Punjab Kings,1.00,KLRahul,out,39.00,35.00,1.00,2.00,111.42
T207754,RCB Vs Punjab Kings,Punjab Kings,2.00,MayankAgarwal,out,57.00,42.00,6.00,2.00,135.71
T207754,RCB Vs Punjab Kings,Punjab Kings,3.00,NicholasPooran,out,3.00,7.00,0.00,0.00,42.85
T207754,RCB Vs Punjab Kings,Punjab Kings,4.00,AidenMarkram,out,20.00,14.00,2.00,1.00,142.85
T207754,RCB Vs Punjab Kings,Punjab Kings,5.00,SarfarazKhan,out,0.00,1.00,0.00,0.00,0.00
T207754,RCB Vs Punjab Kings,Punjab Kings,6.00,MShahrukhKhan,out,16.00,11.00,1.00,1.00,145.45
T207754,RCB Vs Punjab Kings,Punjab Kings,7.00,MoisesHenriques,not_out,12.00,9.00,0.00,1.00,133.33
T207754,RCB Vs Punjab Kings,Punjab Kings,8.00,HarpreetBrar,not_out,3.00,2.00,0.00,0.00,150.00
T205672,Super Kings Vs Royals,Super Kings,1.00,RuturajGaikwad,not_out,101.00,60.00,9.00,5.00,168.33
T205672,Super Kings Vs Royals,Super Kings,2.00,FafduPlessis,out,25.00,19.00,2.00,1.00,131.57
T205672,Super Kings Vs Royals,Super Kings,3.00,SureshRaina,out,3.00,5.00,0.00,0.00,60.00
T205672,Super Kings Vs Royals,Super Kings,4.00,MoeenAli,out,21.00,17.00,1.00,1.00,123.52
T205672,Super Kings Vs Royals,Super Kings,5.00,AmbatiRayudu,out,2.00,4.00,0.00,0.00,50.00
T205672,Super Kings Vs Royals,Super Kings,6.00,RavindraJadeja,not_out,32.00,15.00,4.00,1.00,213.33
T205672,Super Kings Vs Royals,Royals,1.00,EvinLewis,out,27.00,12.00,2.00,2.00,225.00
T205672,Super Kings Vs Royals,Royals,2.00,YashasviJaiswal,out,50.00,21.00,6.00,3.00,238.09
T205672,Super Kings Vs Royals,Royals,3.00,SanjuSamson,out,28.00,24.00,4.00,0.00,116.66
T205672,Super Kings Vs Royals,Royals,4.00,ShivamDube,not_out,64.00,42.00,4.00,4.00,152.38
T205672,Super Kings Vs Royals,Royals,5.00,GlennPhillips,not_out,14.00,8.00,1.00,1.00,175.00
T209349,Mumbai Vs Capitals,Mumbai,1.00,RohitSharma,out,7.00,10.00,1.00,0.00,70.00
T209349,Mumbai Vs Capitals,Mumbai,2.00,QuintondeKock,out,19.00,18.00,1.00,1.00,105.55
T209349,Mumbai Vs Capitals,Mumbai,3.00,SuryakumarYadav,out,33.00,26.00,2.00,2.00,126.92
T209349,Mumbai Vs Capitals,Mumbai,4.00,SaurabhTiwary,out,15.00,18.00,1.00,0.00,83.33
T209349,Mumbai Vs Capitals,Mumbai,5.00,KieronPollard,out,6.00,9.00,0.00,0.00,66.66
